"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"81","1","81","45.669998","47","0","6","2.990000","3","2","10","5.340000","4","6","7","6.449999","6","0","9","5.100000","5","176",
"82","2","82","41.350002","58","0","7","3.140000","5","2","10","5.300002","4","5","7","6.409999","6","0","9","4.510001","5","177",
"83","1","83","40.399986","49","0","6","3.260000","4","2","10","5.400000","6","5","7","6.499998","7","1","9","4.970000","7","178",
"84","1","84","43.569984","73","0","8","3.300001","2","2","9","5.079999","5","4","7","6.539999","6","1","10","4.569999","4","178",
"85","1","85","46.239998","77","0","7","3.320000","5","2","9","5.330001","6","4","7","6.449999","6","0","11","4.909999","7","180",
"86","1","86","45.470013","36","0","6","3.359999","2","2","8","5.160000","5","4","7","6.460001","6","0","10","4.540003","0","184",
"87","1","87","43.129990","16","0","8","3.320000","5","2","9","5.350001","6","2","7","6.540000","6","0","9","4.880001","5","186",
"88","1","88","39.339989","32","0","7","3.260000","3","2","10","5.269999","5","1","7","6.530000","7","0","10","4.809999","5","187",
"89","1","89","42.480019","38","0","7","3.190000","4","2","8","5.110001","5","5","7","6.549998","6","0","10","4.870002","3","189",
"90","1","90","43.850006","79","1","7","3.300000","5","2","9","5.340000","6","6","7","6.609998","7","0","9","4.970001","6","190",
"91","1","91","46.400009","50","0","7","3.279999","4","2","7","5.210001","4","6","7","6.579999","6","0","9","4.710000","3","191",
"92","4","92","47.239998","6","0","6","2.940000","4","2","8","4.980000","6","6","7","6.590000","6","0","9","4.690001","5","198",
"93","2","91","44.879993","50","0","7","3.350000","4","2","8","5.170002","8","4","7","6.599999","7","0","9","5.170000","5","201",
"94","1","92","50.689995","63","0","7","3.040000","4","2","8","5.020000","5","2","7","6.579999","7","0","9","4.630001","4","204",
"95","2","95","51.610008","24","0","6","3.109999","4","2","11","5.230000","4","2","7","6.510000","6","0","10","4.950000","0","211",
"96","2","96","49.160007","36","0","6","3.379999","3","2","8","5.070000","5","6","7","6.719999","7","0","9","4.790001","4","217",
"97","1","97","49.219997","9","0","8","3.240000","3","2","9","5.220000","9","5","7","6.690000","7","0","11","4.470002","5","217",
"98","2","98","50.630001","78","0","6","3.170000","2","2","7","4.930001","5","5","7","6.710000","6","1","11","5.290000","5","221",
"99","1","99","47.090012","40","0","6","3.310000","4","2","8","5.130002","3","4","7","6.720000","7","0","9","4.950001","7","222",
"100","1","100","47.769993","46","0","7","3.599999","4","2","8","5.060000","5","5","7","6.789999","6","0","9","4.960000","7","223",
"101","1","101","51.129997","70","0","6","3.400000","4","2","9","5.280000","5","3","7","6.660001","7","0","10","4.970000","7","228",
"102","3","102","54.689999","16","0","7","3.320000","4","2","9","5.180000","6","6","7","6.810000","7","0","11","4.850000","5","228",
"103","1","103","51.149994","99","2","6","3.440001","4","2","9","5.350000","6","5","7","6.810000","7","2","10","5.169999","3","229",
"104","1","104","50.509998","96","1","7","3.160000","2","2","10","5.410000","5","2","7","6.599999","6","0","9","4.810000","4","234",
"105","1","105","50.889988","12","0","6","3.280000","5","2","8","5.349999","4","5","7","6.700000","7","0","9","4.810002","3","236",
"106","1","106","56.630005","90","0","6","3.190000","4","2","8","5.290001","5","5","7","6.750000","7","0","9","4.619998","3","239",
"107","8","107","61.500008","84","0","7","3.250000","3","2","9","5.230000","5","2","7","6.670000","6","0","11","4.510001","5","241",
"108","1","108","57.879997","66","1","7","3.440001","5","2","10","5.400001","5","5","7","6.779999","7","0","10","4.640001","3","245",
"109","1","109","60.599995","64","0","7","3.420000","2","2","9","5.079999","5","5","7","6.840000","7","1","9","4.769999","7","246",
"110","1","110","56.380009","37","0","7","2.950000","2","2","9","5.340000","6","6","7","6.729998","7","0","11","4.980002","4","246",
"111","1","110","54.610001","20","1","6","3.210000","4","3","9","5.260000","5","6","7","6.900000","7","0","10","4.830001","5","247",
"112","1","112","57.130001","38","1","8","3.390001","4","2","8","5.200001","5","4","7","6.769999","6","0","9","4.849999","8","250",
"113","1","112","52.660000","101","0","8","3.270000","4","2","7","5.280001","6","4","7","6.839999","7","1","10","4.970000","7","252",
"114","2","114","64.219986","14","0","8","3.149999","2","2","7","5.360001","6","5","7","6.900000","7","0","9","4.729999","2","252",
"115","2","115","59.770000","11","0","7","3.340001","4","2","8","5.279999","6","4","7","6.890001","7","0","7","4.460000","5","255",
"116","1","116","56.850010","87","0","6","3.310000","3","2","8","5.240001","7","2","7","6.699999","7","0","11","5.199999","5","257",
"117","1","117","62.010006","86","0","6","3.199999","2","2","9","5.590001","4","5","7","6.839999","6","0","12","4.890001","7","257",
"118","5","115","56.110012","103","0","6","3.239999","2","2","9","5.270000","6","3","7","6.880001","7","0","11","4.879999","7","259",
"119","1","119","65.089973","40","0","6","3.140000","3","3","8","5.400001","7","5","7","6.889999","7","0","10","4.929999","5","261",
