"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"65","3","64","31.979994","25","1","2","1.930000","2","3","4","3.930000","4","6","7","6.059999","6","1","3","2.840000","3","128",
"66","4","66","35.759998","34","1","2","1.970000","1","3","4","3.960001","4","3","7","6.030000","6","0","3","2.920000","3","130",
"67","2","67","34.520004","55","1","2","1.920000","2","3","4","3.940000","4","5","7","6.079998","6","1","3","2.870000","3","132",
"68","3","68","34.489998","26","1","2","1.950000","2","3","4","3.970000","4","5","7","6.070000","6","1","3","2.810000","3","134",
"69","2","69","35.449993","64","1","2","1.920000","2","2","4","3.910000","3","2","7","6.130000","6","1","3","2.840000","3","136",
"70","2","70","37.490002","27","1","2","1.890000","2","3","4","3.980000","4","3","7","6.090000","6","1","3","2.820000","3","138",
"71","2","71","35.650009","2","0","2","1.960000","2","2","4","3.910000","4","6","7","6.199998","6","1","3","2.880000","3","140",
"72","2","71","37.850006","68","1","2","1.970000","2","3","4","3.950001","4","5","7","6.210000","6","1","3","2.739999","3","142",
"73","2","72","30.979994","39","1","2","1.920000","2","3","4","3.950000","4","4","7","6.270000","6","1","3","2.829999","3","144",
"74","5","72","36.169994","21","1","2","1.940000","2","3","4","3.910000","4","5","7","6.280000","7","1","3","2.840000","3","146",
"75","2","75","42.189999","50","1","2","1.970000","2","3","4","3.910000","4","2","7","6.250000","5","1","3","2.859999","3","148",
"76","2","76","35.389999","2","1","2","1.940000","2","3","4","3.950000","4","1","7","6.319999","6","0","3","2.910000","3","150",
"77","2","77","34.850002","28","1","2","1.950000","2","3","4","3.990000","4","5","7","6.310001","7","1","3","2.789999","3","152",
"78","2","78","40.340000","56","1","2","1.950000","2","2","4","3.930000","4","6","7","6.380000","6","0","3","2.850000","3","154",
"79","2","78","39.000004","58","1","2","1.970000","2","3","4","3.950000","4","4","7","6.360001","6","1","3","2.900000","1","156",
"80","3","78","40.629990","40","1","2","1.980000","2","3","4","3.890000","4","6","7","6.419999","7","1","3","2.790000","2","158",
"81","5","81","38.590004","45","0","2","1.920000","2","3","4","3.970000","4","5","7","6.290000","6","1","3","2.830000","3","160",
"82","2","82","42.779991","54","1","2","1.890000","2","3","4","3.930000","4","3","7","6.339999","7","0","3","2.770000","3","162",
"83","3","82","42.189995","23","1","2","1.920000","2","3","4","3.930001","4","4","7","6.410001","7","0","3","2.780000","3","164",
